tokenizer,omitted_issue_date,n_omitted,n_remaining,metric,full_sample,omission_value,pct_change
RoBERTalex,20250515,10,390,P90,8905.900000000005,9173.600000000008,3.005872511481189
RoBERTalex,20250515,10,390,P95,16621.85,16650.35,0.1714610587870702
RoBERTalex,20250715,10,390,mediana,759.5,768.0,1.1191573403555033
RoBERTalex,20250715,10,390,P90,8905.900000000005,8905.900000000005,0.0
RoBERTalex,20250715,10,390,P95,16621.85,16650.35,0.1714610587870702
RoBERTalex,20250815,10,390,mediana,759.5,751.5,-1.0533245556286985
RoBERTalex,20250815,10,390,P90,8905.900000000005,8905.900000000005,0.0
RoBERTalex,20250815,10,390,P95,16621.85,16650.35,0.1714610587870702
RoBERTalex,20251015,10,390,mediana,759.5,768.0,1.1191573403555033
RoBERTalex,20251015,10,390,P90,8905.900000000005,8268.900000000016,-7.152561784884048
RoBERTalex,20251015,10,390,P95,16621.85,16245.499999999962,-2.264188402614853
RoBERTalex,20251115,10,390,mediana,759.5,763.5,0.5266622778143493
RoBERTalex,20251115,10,390,P90,8905.900000000005,9173.600000000008,3.005872511481189
RoBERTalex,20251115,10,390,P95,16621.85,16650.35,0.1714610587870702
MEL,20210115,10,390,mediana,882.0,878.0,-0.45351473922902175
MEL,20210115,10,390,P90,10228.800000000001,9853.10000000001,-3.6729626153604644
MEL,20210115,10,390,P95,19808.699999999997,19700.69999999999,-0.5452149812961382
MEL,20210215,10,390,mediana,882.0,882.0,0.0
MEL,20210215,10,390,P90,10228.800000000001,10320.60000000001,0.8974659784139805
MEL,20210215,10,390,P95,19808.699999999997,19835.699999999997,0.136303745324029
MEL,20210415,10,390,mediana,882.0,896.5,1.643990929705219
MEL,20210415,10,390,P90,10228.800000000001,9853.10000000001,-3.6729626153604644
MEL,20210415,10,390,P95,19808.699999999997,19575.85,-1.1754935962481006
MEL,20210515,10,390,mediana,882.0,896.5,1.643990929705219
MEL,20210515,10,390,P90,10228.800000000001,9853.10000000001,-3.6729626153604644
MEL,20210515,10,390,P95,19808.699999999997,19703.84999999999,-0.5293128776749922
MEL,20210715,10,390,mediana,882.0,882.0,0.0
MEL,20210715,10,390,P90,10228.800000000001,10228.800000000001,0.0
MEL,20210715,10,390,P95,19808.699999999997,19703.84999999999,-0.5293128776749922
MEL,20210816,10,390,mediana,882.0,882.0,0.0
MEL,20210816,10,390,P90,10228.800000000001,10228.800000000001,0.0
MEL,20210816,10,390,P95,19808.699999999997,19835.699999999997,0.136303745324029
MEL,20211015,10,390,mediana,882.0,912.0,3.401360544217691
MEL,20211015,10,390,P90,10228.800000000001,10228.800000000001,0.0
MEL,20211015,10,390,P95,19808.699999999997,19703.84999999999,-0.5293128776749922
MEL,20211115,10,390,mediana,882.0,878.0,-0.45351473922902175
